what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,17.0.0.v201203161636-291853,"com.android.ide.eclipse.traceview",1347411870445
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1347411870808
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1347411870810
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1347411874400
started,bundle,com.aptana.browser,3.0.0.1331057464,"com.aptana.browser",1347411877021
started,bundle,com.aptana.configurations,3.0.3.1329404579,"com.aptana.configurations",1347411877314
started,bundle,com.aptana.projects,3.0.0.1331924977,"com.aptana.projects",1347411877611
started,bundle,com.aptana.samples.ui,3.0.0.1332290979,"com.aptana.samples.ui",1347411877774
started,bundle,com.aptana.samples,3.0.0.1334367142,"com.aptana.samples",1347411877954
opened,editor,com.aptana.portal.ui,3.0.0.1332438759,"com.aptana.portal.ui.browser.startPage",1347411878026
activated,editor,com.aptana.portal.ui,3.0.0.1332438759,"com.aptana.portal.ui.browser.startPage",1347411878089
started,bundle,com.aptana.preview,3.0.0.1331858816,"com.aptana.preview",1347411878114
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1347411879554
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1347411880138
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1347411880449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411894144
started,bundle,com.aptana.git.core,3.0.0.1332346356,"com.aptana.git.core",1347411912278
started,bundle,com.aptana.git.ui,3.0.3.1332428263,"com.aptana.git.ui",1347411912496
started,bundle,com.aptana.syncing.core,3.0.0.1331597970,"com.aptana.syncing.core",1347411912785
started,bundle,com.aptana.core.io,3.0.3.1329404579,"com.aptana.core.io",1347411912798
started,bundle,com.aptana.syncing.ui,3.0.3.1333512862,"com.aptana.syncing.ui",1347411912909
started,bundle,com.vectrace.MercurialEclipse,1.9.1.v201111302231,"com.vectrace.MercurialEclipse",1347411913141
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1347411913204
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1347411913353
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1347411913500
started,bundle,com.google.appengine.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.appengine.eclipse.core",1347411924289
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.appengine.rpc",1347411924607
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.shared",1347411924731
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.e36",1347411924731
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core",1347411925395
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1347411925918
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1347411926157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411930937
started,bundle,com.aptana.deploy,3.0.3.1332170057,"com.aptana.deploy",1347411934533
started,bundle,com.aptana.deploy.heroku,3.0.3.1332346356,"com.aptana.deploy.heroku",1347411934772
started,bundle,com.aptana.deploy.capistrano,3.0.3.1329404579,"com.aptana.deploy.capistrano",1347411934932
started,bundle,com.aptana.deploy.engineyard,3.0.3.1332346356,"com.aptana.deploy.engineyard",1347411935105
started,bundle,com.aptana.deploy.ftp,3.0.3.1331597970,"com.aptana.deploy.ftp",1347411935173
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1347411935709
closed,editor,com.aptana.portal.ui,3.0.0.1332438759,"com.aptana.portal.ui.browser.startPage",1347411935710
activated,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1347411937607
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1347411939502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411946120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411950824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411962957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347411976967
started,bundle,com.aptana.debug.core,3.0.3.1332346356,"com.aptana.debug.core",1347411977388
started,bundle,com.aptana.js.debug.core,3.0.3.1332739581,"com.aptana.js.debug.core",1347411977459
started,bundle,com.aptana.webserver.core,3.0.0.1332451580,"com.aptana.webserver.core",1347411978484
started,bundle,com.aptana.js.debug.ui,3.0.0.1332171195,"com.aptana.js.debug.ui",1347411978516
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1347411978682
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1347411979590
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1347411979670
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1347411979850
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1347411980236
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1347411980430
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1347411986920
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1347411987394
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1347411988609
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1347411991782
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1347411994145
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1347411996326
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1347411996780
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1347412023134
started,bundle,org.eclipse.mylyn.java.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.ui",1347412140873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412143563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412148000
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1347412148921
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1347412157497
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1347412157500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412159537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412161376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412161939
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412162318
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1347412164279
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1347412164352
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1347412164360
activated,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1347412165811
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1347412165895
closed,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1347412165901
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1347412166429
started,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1347412166589
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1347412167761
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1347412168996
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1347412169210
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1347412169266
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1347412170884
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1347412171123
started,bundle,com.aptana.console,3.0.0.1332428263,"com.aptana.console",1347412171595
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1347412172345
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1347412172882
started,bundle,com.aptana.core.epl,3.0.0.1329404579,"com.aptana.core.epl",1347412251264
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347412323642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412363410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412396039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412407596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412413963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412426823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412426913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412436842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412450214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412453021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412463370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412469781
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412469834
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1347412503532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1347412508207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412511948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412543326
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1347412546832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412549107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412599162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412610554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412750820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412758271
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412758331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412777757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412783190
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412783241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412798665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412804890
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412804958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347412956347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347412963474
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347412963532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347413028691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347413035132
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347413035199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347413044425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347413050363
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1347413050440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347413257548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1347413260395
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347413260599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347413262977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347413301100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1347413348637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347413352753
